country;capital;source
Афганистан;Кабул;db
Албания;Тирана;db
Алжир;Алжир;db
Андорра;Андорра;db
Ангола;Луанда;db
Антигуа и Барбуда;Сент-Джонс;db
Аргентина;Буэнос-Айрес;db
Армения;Ереван;db
Австралия;Канберра;db
Австрия;Вена;db
Азербайджан;Баку;db
Багамы;Нассау;db
Бахрейн;Манама;db
Бангладеш;Дакка;db
Барбадос;Бриджтаун;db
Беларусь;Минск;db
Бельгия;Брюссель;db
Белиз;Бельмопан;db
Бенин;Порто-Ново;db
Бутан;Тхимпху;db
Боливия;Ла-Пас;db
Босния и Герцеговина;Сараево;db
Ботсвана;Габороне;db
Бразилия;Бразилиа;db
Бруней;Бандар-Сери-Бегаван;db
Болгария;София;db
Буркина-Фасо;Уагадугу;db
Бурунди;Бужумбура;db
Камбоджа;Пномпень;db
Камерун;Яунде;db
Канада;Оттава;db
Кабо-Верде;Прая;db
Центральноафриканская Республика;Банги;db
Чад;Нджамена;db
Чили;Сантьяго;db
Китай;Пекин;db
Колумбия;Богота;db
Коморы;Морони;db
Конго;Браззавиль;db
Коста-Рика;Сан-Хосе;db
Хорватия;Загреб;db
Куба;Гавана;db
Кипр;Никосия;db
Чехия;Прага;db
Дания;Копенгаген;db
Джибути;Джибути;db
Доминика;Розо;db
Доминиканская Республика;Санто-Доминго;db
Тимор-Лесте;Дили;db
Эквадор;Кито;db
Египет;Каир;db
Сальвадор;Сан-Сальвадор;db
Экваториальная Гвинея;Малабо;db
Эритрея;Асмэра;db
Эстония;Таллинн;db
Эфиопия;Аддис-Абеба;db
Фиджи;Сува;db
Финляндия;Хельсинки;db
Франция;Париж;db
Габон;Либревиль;db
Гамбия;Банжул;db
Грузия;Тбилиси;db
Германия;Берлин;db
Гана;Аккра;db
Греция;Афины;db
Гренада;Сент-Джорджес;db
Гватемала;Гватемала;db
Гвинея;Конакри;db
Гвинея-Бисау;Бисау;db
Гайана;Джорджтаун;db
Гаити;Порт-о-Пренс;db
Гондурас;Тегусигалпа;db
Венгрия;Будапешт;db
Исландия;Рейкьявик;db
Индия;Нью-Дели;db
Индонезия;Джакарта;db
Иран;Тегеран;db
Ирак;Багдад;db
Ирландия;Дублин;db
Израиль;Иерусалим;db
Италия;Рим;db
Ямайка;Кингстон;db
Япония;Токио;db
Иория;Амман;db
Казахстан;Нур-Султан;db
Кения;Найроби;db
Кирибати;Южная Тарава;db
Кувейт;Кувейт;db
Кыргызстан;Бишкек;db
Лаос;Вьентьян;db
Латвия;Рига;db
Ливан;Бейрут;db
Лесото;Масеру;db
Либерия;Монровия;db
Ливия;Триполи;db
Лихтенштейн;Вадуц;db
Литва;Вильнюс;db
Люксембург;Люксембург;db
Мадагаскар;Антананариву;db
Малави;Лилонгве;db
Малайзия;Куала-Лумпур;db
Мальдивы;Мале;db
Мали;Бамако;db
Мальта;Валлетта;db
Маршалловы острова;Маджуро;db
Мавритания;Нуакшот;db
Маврикий;Порт-Луи;db
Мексика;Мехико;db
Микронезия;Паликир;db
Молдова;Кишинев;db
Монако;Монако;db
Монголия;Улан-Батор;db
Черногория;Подгорица;db
Марокко;Рабат;db
Мозамбик;Мапуту;db
Мьянма (Бирма);Нейпьидо;db
Намибия;Виндхук;db
Науру;Ярен;db
Непал;Катманду;db
Нидерланды;Амстердам;db
Новая Зеландия;Веллингтон;db
Никарагуа;Манагуа;db
Нигер;Ниамей;db
Нигерия;Абуджа;db
Северная Корея;Пхеньян;db
Норвегия;Осло;db
Оман;Маскат;db
Пакистан;Исламабад;db
Палау;Нгерулмуд;db
Панама;Панама;db
Папуа-Новая Гвинея;Порт-Морсби;db
Парагвай;Асунсьон;db
Перу;Лима;db
Филиппины;Манила;db
Польша;Варшава;db
Португалия;Лиссабон;db
Катар;Доха;db
Румыния;Бухарест;db
Россия;Москва;db
Руанда;Кигали;db
Сент-Китс и Невис;Бастер;db
Сент-Люсия;Кастри;db
Сент-Винсент и Гренадины;Кингстаун;db
Самоа;Апиа;db
Сан-Марино;Сан-Марино;db
Сан-Томе и Принсипи;Сан-Томе;db
Саудовская Аравия;Эр-Рияд;db
Сенегал;Дакар;db
Сербия;Белград;db
Сейшельские Острова;Виктория;db
Сьерра-Леоне;Фритаун;db
Сингапур;Сингапур;db
Словакия;Братислава;db
Словения;Любляна;db
Соломоновы Острова;Хониара;db
Сомали;Могадишо;db
Южная Корея;Сеул;db
Южная Осетия;Цхинвали;db
Южная Африка;Претория;db
Южный Судан;Джуба;db
Испания;Мадрид;db
Шри-Ланка;Шри-Джаяварденепура-Котте;db
Судан;Хартум;db
Суринам;Парамарибо;db
Свазиленд;Лобамба;db
Швеция;Стокгольм;db
Швейцария;Берн;db
Сирия;Дамаск;db
Таджикистан;Душанбе;db
Танзания;Додома;db
Таиланд;Бангкок;db
Того;Ломе;db
Тонга;Нукуалофа;db
Тринидад и Тобаго;Порт-оф-Спейн;db
Тунис;Тунис;db
Турция;Анкара;db
Туркменистан;Ашхабад;db
Тувалу;Фунафути;db
Уганда;Кампала;db
Украина;Киев;db
Объединенные Арабские Эмираты;Абу-Даби;db
Великобритания;Лондон;db
Соединенные Штаты Америки;Вашингтон;db
Уругвай;Монтевидео;db
Узбекистан;Ташкент;db
Вануату;Порт-Вила;db
Ватикан;Ватикан;db
Венесуэла;Каракас;db
Вьетнам;Ханой;db
Йемен;Сана;db
Замбия;Лусака;db
Зимбабве;Хараре;db
